"Slug",":draft","Model","År","Pris","Kategori","Type","Egenvægt","Totalvægt","Lagernummer","Lasteevne","Billede 1","Billede 1:alt","Billede 2","Billede 2:alt","Billede 3","Billede 3:alt","Billede 4","Billede 4:alt","Billede 5","Billede 5:alt","Billede 6","Billede 6:alt","Installationer og tilbehør","Yderligere oplysninger","Størrelse"
"hobby-de-luxe-460-ufe-2022","false","Hobby de luxe 460 UFe 2022","2022","179.900,-","Ny","Campingvogn","1125","1350","","225","https://framerusercontent.com/images/iUTN37v17jU7UsFaWLRl7Hx4.jpg","","https://framerusercontent.com/images/DBgdm0lxS22XJcU8Jy0pfPA2t0.jpg","","https://framerusercontent.com/images/ZxEqYOzfKxe4hMLpW9gSG2xshL8.jpg","","https://framerusercontent.com/images/4jdCSWKsIz9qoqz9BpfV3500paE.jpg","","https://framerusercontent.com/images/sF0vcpRPgObZzSidwLvCKKALUxY.jpg","","","","<p dir=""auto"">✅ Fransk seng</p><p dir=""auto"">✅ Køleskab</p><p dir=""auto"">✅ Fast vandtank</p><p dir=""auto"">✅ Vandtank på hjul</p><p dir=""auto"">✅ Varmtvand</p><p dir=""auto"">✅ Toiletrum</p><p dir=""auto"">✅ Cassettetoilet</p><p dir=""auto"">✅ Rullegardiner</p><p dir=""auto"">✅ Brusebund</p><p dir=""auto"">✅ TV-beslag</p><p dir=""auto"">✅ Gulvvarme</p><p dir=""auto"">✅ Cassettegardiner</p><p dir=""auto"">✅ Fluenetsdør</p><p dir=""auto"">✅ Stor tagluge</p><p dir=""auto"">✅ Stabilisator</p><p dir=""auto"">✅ Serviceklap</p><p dir=""auto""><br></p>","<p dir=""auto"">Ny vogn, nedsat kr. 15.000,-</p><p dir=""auto"">Vognen står i Struer.</p>",""
"sprite-super-450","false","Sprite Super 450","2005","59.900,-","Brugt","Campingvogn","975","1300","","325","https://framerusercontent.com/images/L1hhLyp0Wn2H23cx73SJ7MsShA.jpeg","","https://framerusercontent.com/images/DZNj90MOd7Jx63i8WM5foDahQE.jpeg","","https://framerusercontent.com/images/4IsWHeLc2Bi4PbId2Wo6ScNuQ.jpeg","","https://framerusercontent.com/images/YCCPzddJbDtdXXtyNmuIitLIr6Y.jpeg","","https://framerusercontent.com/images/2Z8WQAeNUsOSkuNhKFQ4dXB0jxU.jpeg","","","","<p dir=""auto"">✅ Fransk senge</p><p dir=""auto"">✅ Køleskab</p><p dir=""auto"">✅ Fast vandtank</p><p dir=""auto"">✅ TV antenne</p><p dir=""auto"">✅ Varmtvand</p><p dir=""auto"">✅ Toiletrum</p><p dir=""auto"">✅ Cassettetoilet</p><p dir=""auto"">✅ Rullegardiner</p><p dir=""auto"">✅ Brusebund</p><p dir=""auto"">✅ Gasovn med blæser</p><p dir=""auto"">✅ Gulvtæppe</p><p dir=""auto"">✅ Cassettegardiner</p><p dir=""auto"">✅ Fluenetsdør</p><p dir=""auto"">✅ Stor tagluge</p><p dir=""auto"">✅ Alufælge</p><p dir=""auto"">✅ Stabilisator</p><p dir=""auto"">✅ Serviceklap</p><p dir=""auto"">✅ Mover</p><p dir=""auto"">✅ Fortelt</p>","<p dir=""auto"">Sprite 450 med mover og Isabella fortelt.</p><p dir=""auto"">Vognen kan nedvejes til 1200 kg.</p><p dir=""auto"">Vognen står i Mønsted.</p>",""
"kabe-safir-600-etdl","false","Kabe Safir 600 ETDL","2021","339.900,-","Brugt","Campingvogn","1687","2000","","313","https://framerusercontent.com/images/U9md9pZoqkwhndnTWSifM37HUeY.jpeg","","https://framerusercontent.com/images/vCOQDvmjCFrbOMegJ6bxIRtzc2o.jpeg","","https://framerusercontent.com/images/NBDmQBqydmlqDaanxSm1rzxENc.jpeg","","https://framerusercontent.com/images/fB54vuQp4hAgAx9MaG1TVgXeaQ.jpeg","","https://framerusercontent.com/images/KjgOA3XnPi4RpJNgnxxMZLPXW2c.jpeg","","https://framerusercontent.com/images/HB908kePk0l6vMiV5rZHgeQWPo.jpeg","","<p dir=""auto"">✅ Enkeltsenge</p><p dir=""auto"">✅ Køleskab</p><p dir=""auto"">✅ Ovn</p><p dir=""auto"">✅ Fast vandtank</p><p dir=""auto"">✅ Vandtank på hjul</p><p dir=""auto"">✅ Varmtvand</p><p dir=""auto"">✅ Toiletrum</p><p dir=""auto"">✅ Cassettetoilet</p><p dir=""auto"">✅ Rullegardiner</p><p dir=""auto"">✅ Brusebund</p><p dir=""auto"">✅ Centralvarme</p><p dir=""auto"">✅ Gulvvarme</p><p dir=""auto"">✅ Cassettegardiner</p><p dir=""auto"">✅ Fluenetsdør</p><p dir=""auto"">✅ Stor tagluge</p><p dir=""auto"">✅ Alufælge</p><p dir=""auto"">✅ Stabilisator</p><p dir=""auto"">✅ Serviceklap</p><p dir=""auto"">✅ Mover</p><p dir=""auto"">✅ Cykelstativ</p>","<p dir=""auto"">Rigtig fin Kabe 600 ETDL med enkeltsenge, bad og toilet i bagenden,</p><p dir=""auto"">centralvarme, mover m.m.</p><p dir=""auto"">Vognen står i Mønsted.</p>",""
"knaus-sport-460-eu","false","Knaus Sport 460 EU","2023","189.900,-","Ny","Campingvogn","1100","1500, kan nedvejes","","400","https://framerusercontent.com/images/Dkm654Q0bQYnwnzKg2h1b96OMw.jpg","","https://framerusercontent.com/images/nkV8AvzxU3tmXHSqOk81kd6QP8.jpg","","https://framerusercontent.com/images/RB5EoymUYnHB49Uwizn3Ixn4U.jpg","","https://framerusercontent.com/images/fCcAWakwHZ74fqN4WBaDpVbUNc.jpg","","https://framerusercontent.com/images/mjGkHjxg0uRV3TTKW6TP1BJd2E.jpg","","","","<p dir=""auto"">✅ Enkeltsenge</p><p dir=""auto"">✅ Køleskab</p><p dir=""auto"">✅ Fast vandtank</p><p dir=""auto"">✅ Varmtvand</p><p dir=""auto"">✅ Varme</p><p dir=""auto"">✅ Toiletrum</p><p dir=""auto"">✅ Cassettetoilet</p><p dir=""auto"">✅ Gulvvarme</p><p dir=""auto"">✅ TV-beslag</p><p dir=""auto"">✅ Cassettegardiner</p><p dir=""auto"">✅ Fluenetsdør</p><p dir=""auto"">✅ Stor tagluge</p><p dir=""auto"">✅ Stabilisator</p><p dir=""auto"">✅ Fortelt</p>","<p dir=""auto"">Helt ny vogn, der sælges incl. fortelt.</p><p dir=""auto"">Vognen står i Struer.</p>",""
"ventura-air-400-trinus","true","Ventura air 400 trinus","","12.995,-","Ny","Fortelt","","","","","","","","","","","","","","","","","","",""
"walker-palladium-350","true","Walker Palladium 350","","19.995,-","Brugt 1 sæson","Fortelt","","","","","","","","","","","","","","","","","","<p dir=""auto""><br></p>","1100"
"hobby-460-ufe-de-luxe-edition-2016","false","Hobby 460 ufe de luxe edition 2016","2016","139.900,-","Brugt","Campingvogn","1148","1350","","202","https://framerusercontent.com/images/V7TGr3rnSBZ2aJrpm5XLbaPADTU.jpeg","","https://framerusercontent.com/images/N2qFFVsKIMtE1YSttgaqlMzKM.jpeg","","https://framerusercontent.com/images/wssAAZVFmqcP3b8vUW1Fq2vPdZQ.jpeg","","https://framerusercontent.com/images/tKOjOAlcmIcdZO3G7aHFAr3Rnk.jpeg","","https://framerusercontent.com/images/feBFet4AtbqoxSdz7wHekZBWQ8.jpeg","","https://framerusercontent.com/images/VpfftEcBaFvsAyiscXf5sow3I.jpeg","","<p dir=""auto"">✅ Fransk seng</p><p dir=""auto"">✅ TV antenne</p><p dir=""auto"">✅ Køleskab</p><p dir=""auto"">✅ Vandtank på hjul</p><p dir=""auto"">✅ Varmtvand</p><p dir=""auto"">✅ Toiletrum</p><p dir=""auto"">✅ Cassettetoilet</p><p dir=""auto"">✅ Brusebund</p><p dir=""auto"">✅ Gasovn m/blæser</p><p dir=""auto"">✅ Kantsyet tæppe</p><p dir=""auto"">✅ Rullegardiner</p><p dir=""auto"">✅ Cassettegardiner</p><p dir=""auto"">✅ Fluenetsdør</p><p dir=""auto"">✅ Stor tagluge</p><p dir=""auto"">✅ Serviceklap</p><p dir=""auto"">✅ Markise med sider og front</p><p dir=""auto"">✅ Stabilisator</p><p dir=""auto"">✅ Mover</p>","<p dir=""auto"">Vognen har lidt kosmetiske buler.</p><p dir=""auto"">Vognen står i Mønsted.</p>",""
"hobby-540-kmfe-2010","false","Hobby 540 Kmfe 2010","2010","109.900,-","Brugt","Campingvogn","1245","1500","","255","https://framerusercontent.com/images/qILSht2jcBiW5yp33YHQPEpDvA.jpeg","","https://framerusercontent.com/images/LEjDpeXqC7kMab8KmeTISggM.jpeg","","https://framerusercontent.com/images/LgxRqFhsoqJPfF3NWVE0wSUqQg.jpeg","","https://framerusercontent.com/images/7FQKO2BC0FpEpAu8uHnRKQUea3g.jpeg","","https://framerusercontent.com/images/sko2bVTMfdWZUtEde2T1YcXU.jpeg","","","","<p dir=""auto"">✅ Fransk seng</p><p dir=""auto"">✅ Køjer</p><p dir=""auto"">✅ Køleskab</p><p dir=""auto"">✅ Vandtank på hjul</p><p dir=""auto"">✅ Varmtvand</p><p dir=""auto"">✅ Toiletrum</p><p dir=""auto"">✅ Cassettetoilet</p><p dir=""auto"">✅ Brusebund</p><p dir=""auto"">✅ Gasovn m/blæser</p><p dir=""auto"">✅ TV antenne</p><p dir=""auto"">✅ Rullegardiner</p><p dir=""auto"">✅ Cassettegardiner</p><p dir=""auto"">✅ Fluenetsdør</p><p dir=""auto"">✅ Stor tagluge</p><p dir=""auto"">✅ Serviceklap</p><p dir=""auto"">✅ Fortelt</p><p dir=""auto"">✅ Stabilisator</p><p dir=""auto"">✅ Aircondition</p><p dir=""auto"">✅ Kantsyet tæppe</p><p dir=""auto"">✅ Ultra heat</p><p dir=""auto""><br></p>","<p dir=""auto"">Vognen står i Mønsted.</p>",""
"wilk-vida-450-2011","false","Wilk Vida 450 2011","2011","79.900,-","Brugt","Campingvogn","1080","1300 eller 1350","","220 eller 270","https://framerusercontent.com/images/Wkzuo4hdUqCet4VnCiu5jdmJiLo.jpeg","","https://framerusercontent.com/images/CUqPa1ATpAhdGJL7jADwhoTLqXQ.jpeg","","https://framerusercontent.com/images/wMYYkDSBHM3YE0BqiuNQDdKds8k.jpeg","","https://framerusercontent.com/images/IzP4lfujYWXzUlyqACqO8RMb7Fg.jpeg","","https://framerusercontent.com/images/WU1n1QtjaIX05BQEEFRjn01TYPs.jpeg","","https://framerusercontent.com/images/1q3TncARksrsRD1wT2bMhjenmJ0.jpeg","","<p dir=""auto"">✅ Fransk seng</p><p dir=""auto"">✅ Køleskab</p><p dir=""auto"">✅ Vandtank på hjul</p><p dir=""auto"">✅ Varmt vand</p><p dir=""auto"">✅ Toiletrum</p><p dir=""auto"">✅ Cassettetoilet</p><p dir=""auto"">✅ Brusebund</p><p dir=""auto"">✅ Varme</p><p dir=""auto"">✅ Rullegardiner</p><p dir=""auto"">✅ Cassettegardiner</p><p dir=""auto"">✅ TV antenne</p><p dir=""auto"">✅ Stor tagluge</p><p dir=""auto"">✅ Serviceklap</p><p dir=""auto"">✅ Fortelt</p><p dir=""auto"">✅ Stabilisator</p>","<p dir=""auto"">Vognen står i Mønsted</p>",""
"hobby-495-ul-excellent-2012","false","Hobby 495 UL Excellent 2012","2012","119.900,-","Brugt","Campingvogn","1220","1500","","280","https://framerusercontent.com/images/0hnok56UIzFPbayabEWT2YwsIGE.jpg","","https://framerusercontent.com/images/XsyaIV7FJmiHsjVgFhKsMJ8AFo.jpg","","https://framerusercontent.com/images/UND33FCzgw5i2qeufzfrMb9uLw.jpg","","https://framerusercontent.com/images/gykjYfQAE8mmx9Vt4GB2ef9g.jpg","","https://framerusercontent.com/images/SIUinH4QQxINMpH2gd27NVHuk.jpg","","https://framerusercontent.com/images/ubtRBVWqS7TkOnpg187D1ydIHro.jpg","","<p>✅ Enkelt senge</p><p>✅ Fast Vandtank</p><p>✅ Køleskab</p><p>✅ Vandtank på hjul</p><p>✅ Varmtvand</p><p>✅ Toiletrum</p><p>✅ Brusebund</p><p>✅ Gasovn med blæser</p><p>✅ Gulvtæppe</p><p>✅ Rullegardiner</p><p>✅ Cassettegardiner</p><p>✅ Fluenetsdør</p><p>✅ Stor tagluge</p><p>✅ Serviceklap</p><p>✅ Fortelt</p><p>✅ Stabilisator</p><p>✅ Alufælge</p><p>✅ Mover</p>","<p>Rigtig fin vogn med enkeltsenge, mover, fortelt m.m.</p><p>Vognen står i Struer.</p>",""
"hobby-premium-560-cfe","false","Hobby Premium 560 CFE","2017. Reg. f. gang 2019","169.900,-","Brugt","Campingvogn","1503","2000","","497","https://framerusercontent.com/images/VcA6nI0RgRALzghj6wffe32BvA8.jpg","","https://framerusercontent.com/images/klsXVZj7rUWiSm3LLZC51VrcGVg.jpg","","https://framerusercontent.com/images/c370fVyGKl8bpWbHUct3DQnnDoM.jpg","","https://framerusercontent.com/images/TEteZ0YAjIWxEGymB6ZcaLEKAh8.jpg","","https://framerusercontent.com/images/PFkUZkO20BsBM8uZmPZZyBVCkU.jpg","","https://framerusercontent.com/images/8MbvSalTsrj1o1EZTuMn4m7OeM.jpg","","<p dir=""auto"">✅ Fransk seng</p><p dir=""auto"">✅ Køleskab</p><p dir=""auto"">✅ Fransk seng</p><p dir=""auto"">✅ Køleskab</p><p dir=""auto"">✅ Fast vandtank</p><p dir=""auto"">✅ Varmt vand</p><p dir=""auto"">✅ Toiletrum</p><p dir=""auto"">✅ Brusebund</p><p dir=""auto"">✅ Casettetoilet</p><p dir=""auto"">✅ Centralvarme</p><p dir=""auto"">✅ Gulvvarme</p><p dir=""auto"">✅ Rullegardiner</p><p dir=""auto"">✅ Casettegardiner</p><p dir=""auto"">✅ Fluenetsdør</p><p dir=""auto"">✅ TV antenne</p><p dir=""auto"">✅ Stor tagluge</p><p dir=""auto"">✅ Alufælge</p><p dir=""auto"">✅ Stabilisator</p><p dir=""auto"">✅ Serviceklap</p><p dir=""auto"">✅ Mover</p><p dir=""auto"">✅ Fortelt</p>","<p dir=""auto"">Velholdt 1 ejers vogn med centralvarme, gulvvarme, mover, Isabella fortelt, alufælge m.m.</p><p dir=""auto"">Pris kun kr. 169900,-</p><p dir=""auto"">Vognen står i Struer.</p>",""
"adria-502-ls","false","Adria 502 LS","2005","49.900,-","Brugt","Campingvogn","925","1100 - 1300","","175 - 375","https://framerusercontent.com/images/Zrge8qej6mhVgwm2zULvSYsVVQ.jpg","","https://framerusercontent.com/images/50pF9aJadnRdyOfXgX2LVakk1Q.jpg","","https://framerusercontent.com/images/lFDDd2FpXFzrR9MR39h7ehk.jpg","","https://framerusercontent.com/images/x4y4wqDpeiqtnJUVqhbJ9Bg5UmQ.jpg","","https://framerusercontent.com/images/8jbF2kibPIdsqndmVCXhe19Zs.jpg","","","","<p>✅ Enkelt senge</p><p>✅ Fast Vandtank</p><p>✅ Køleskab</p><p>✅ Ovn</p><p>✅ Varmtvand</p><p>✅ Toiletrum</p><p>✅ Cassettetoilet</p><p>✅ Brusebund</p><p>✅ Gasovn med blæser</p><p>✅ Fast vandtank</p><p>✅ Rullegardiner</p><p>✅ Cassettegardiner</p><p>✅ Serviceklap</p><p>✅ Fortelt</p><p>✅ Stabilisator</p><p><br></p><p><br></p><p><br></p>","<p>Let 2 personers vogn med fortelt og enkeltsenge.</p><p>Egenvægt kun 925 kg.</p><p>Vognen står i Struer.</p>",""
"sprite-390-ek","false","Sprite 390 EK","2006","49.900,-","Brugt","Campingvogn","1000","1200 - 1350","","200 - 350","https://framerusercontent.com/images/1d2o3nu1TufQDfjkbTjuCpKHfE.jpg","","https://framerusercontent.com/images/TEQHiXiTxdcbikFNLbKAIDBIA.jpg","","https://framerusercontent.com/images/VCfLD5k15Fe1j4doSkqqyg7Br3A.jpg","","https://framerusercontent.com/images/JqJTUcPxzodGd11lO5dGcb2ntrU.jpg","","https://framerusercontent.com/images/AxR9WX14PLEDhrbcBaC69o6tPI.jpg","","","","<p>✅ Enkelt senge</p><p>✅ Fast Vandtank</p><p>✅ Køleskab</p><p>✅ Ovn</p><p>✅ Varmt vand</p><p>✅ Vandtank på hjul</p><p>✅ Toiletrum</p><p>✅ Cassettetoilet</p><p>✅ Brusebund</p><p>✅ Gasovn med blæser</p><p>✅ Truma ultra heat</p><p>✅ Rullegardiner</p><p>✅ Cassettegardiner</p><p>✅ Fluenetsdør</p><p>✅ Stor tagluge</p><p>✅ Serviceklap</p><p>✅ Fortelt</p><p>✅ Stabilisator</p><p>✅ Alufælge</p><p>✅ Mover</p><p>✅ Cykelstativ</p>","<p>Fin rejsevogn med ladepakke, gasvandvarmer, mover, gaskomfur med gasbageovn, ultra heat og nyere fortelt.</p><p>Vognen kan bruges uafhængig af adgang til 220 volt.</p><p>Vognen står i Struer.</p>",""
"adria-adora-613-ut","false","Adria Adora 613 UT","2022","279.900,-","Brugt","Campingvogn","1590","2000","","410","https://framerusercontent.com/images/ylml1gKZcZGr3gBPaYtGk2KRzhI.jpeg","","https://framerusercontent.com/images/yTFD4DHKxAHnBNNuzZORIHqU.jpeg","","https://framerusercontent.com/images/8u2gyWOBa6wZ9g8qjDvFXq7w0.jpeg","","https://framerusercontent.com/images/4gtdkhHHIPJsul7OYnLItEkXXHs.jpeg","","https://framerusercontent.com/images/qLL0JiOaxmp5TSUYSRhJ6cDmDI.jpeg","","","","<p>✅ Dobbelt seng</p><p>✅ Fast Vandtank</p><p>✅ Køleskab</p><p>✅ Ovn</p><p>✅ Varmtvand</p><p>✅ Toiletrum</p><p>✅ Cassettetoilet</p><p>✅ Brusebund</p><p>✅ Centralvarme</p><p>✅ Gulvvarme</p><p>✅ Rullegardiner</p><p>✅ Cassettegardiner</p><p>✅ Fluenetsdør</p><p>✅ Stor tagluge</p><p>✅ Serviceklap</p><p>✅ Fortelt</p><p>✅ Stabilisator</p><p>✅ Alufælge</p><p>✅ Mover</p><p>✅ Markise</p>","",""
"dethleffs-camper-style-490","false","Dethleffs Camper Style 490","2011","109.900,-","Brugt","Campingvogn","1090","1500","","410","https://framerusercontent.com/images/55sqOBnKtDMALSOehUZ9xRcUcoA.jpg","","https://framerusercontent.com/images/Mw36T5UrsoLTkdRL6Yvy53yAQE.jpg","","https://framerusercontent.com/images/Gf9hXcHmXkKENWbVsZPwlA0Ndm4.jpg","","https://framerusercontent.com/images/tQJt8vuOexSxU9rBmfSYy72dhQ.jpg","","https://framerusercontent.com/images/okxf9CU8BQwrHzutqvG50Vsc.jpg","","https://framerusercontent.com/images/LgFHN8SfP83yodTRkFFWs9rBKw.jpg","","<p>✅ Enkeltsenge</p><p>✅ Fast vandtank</p><p>✅ Køleskab</p><p>✅ Varmt vand</p><p>✅ Gulvvarme</p><p>✅ Rullegardiner</p><p>✅ Fluenetsdør</p><p>✅ Toiletrum</p><p>✅ Brusebund</p><p>✅ Casette toilet</p><p>✅ Gasovn med blæser</p><p>✅ Stor tagluge</p><p>✅ TV antenne</p><p>✅ Alu fælge</p><p>✅ Stabilisator</p><p>✅ Serviceklap</p><p>✅ Mover</p><p>✅ Fortelt</p><p>✅ Markise</p>","<p>Meget velholdt vogn.</p><p>Vognen står i Struer.</p>",""
